filename,folder,label,brightness_mean,brightness_std,brightness_max,brightness_min,brightness_p95,block_mean_var,block_mean_max,block_mean_min,block_top3_mean,bright_block_count,bright_pixel_ratio,connected_component_count,largest_component_area,largest_component_ratio,sobel_mean,laplacian_var,rgb_r_mean,rgb_g_mean,rgb_b_mean,rgb_r_p95,rgb_red_ratio_mean,red_over_green_mean,red_over_blue_mean,red_dominance_mean,bright_red_pixel_ratio,bright_red_mean_dominance,bright_red_mean_intensity,bright_red_component_count,bright_red_largest_component_ratio
15,light,1,98.69573211669922,26.768451690673828,254.0,53.0,144.0,557.9861450195312,161.51309204101562,65.37374114990234,146.09828186035156,0.0,0.009925063775510204,98.0,53.0,0.0010562818877551021,34.99696731567383,701.2744750976562,70.18463134765625,110.50264739990234,112.71363067626953,133.0,0.2272052764892578,-40.31801986694336,-42.52899932861328,-42.55105972290039,0.00013950892857142856,44.28571319580078,238.14285278320312,6.0,3.985969387755102e-05
16,light,1,94.99079132080078,32.237449645996094,254.0,48.0,160.0,831.7058715820312,175.60740661621094,58.034847259521484,156.29908752441406,0.0,0.018594547193877552,135.0,459.0,0.00914779974489796,39.66652297973633,1008.4442749023438,69.63480377197266,105.4249038696289,107.87551879882812,154.0,0.2312680035829544,-35.79010009765625,-38.2407112121582,-38.25715637207031,3.985969387755102e-05,38.0,238.5,2.0,1.992984693877551e-05
17,light,1,92.91398620605469,30.325756072998047,254.0,45.0,151.0,693.4776000976562,169.28334045410156,59.469696044921875,148.6432647705078,0.0,0.0176578443877551,125.0,338.0,0.0067362882653061226,40.050174713134766,1112.2039794921875,65.76576232910156,104.1086196899414,106.21133422851562,143.0,0.2243908792734146,-38.34285354614258,-40.44557189941406,-40.47978973388672,1.992984693877551e-05,34.0,235.0,1.0,1.992984693877551e-05
18,light,1,91.34928894042969,30.169208526611328,254.0,0.0,147.0,686.612060546875,171.2869110107422,49.013431549072266,145.37071228027344,0.0,0.016641422193877552,129.0,405.0,0.008071588010204082,33.91035461425781,985.9696044921875,60.64522933959961,104.40959930419922,104.46757507324219,134.0,0.21013419330120087,-43.76436996459961,-43.82234573364258,-44.57575225830078,1.992984693877551e-05,42.0,245.0,1.0,1.992984693877551e-05
19,light,1,91.91192626953125,26.266786575317383,253.0,49.0,139.0,492.6746826171875,152.71505737304688,60.083839416503906,137.06353759765625,0.0,0.011340082908163265,117.0,84.0,0.0016741071428571428,33.9664421081543,985.6852416992188,61.42034149169922,104.73287963867188,105.85283660888672,129.0,0.21276582777500153,-43.312538146972656,-44.432498931884766,-45.07063293457031,1.992984693877551e-05,36.0,241.0,1.0,1.992984693877551e-05
20,light,1,91.99824523925781,33.190101623535156,250.0,37.0,158.0,918.5565795898438,176.279296875,50.68333435058594,154.36363220214844,0.0,0.017418686224489797,113.0,452.0,0.009008290816326531,37.55278778076172,916.5272827148438,70.7292709350586,100.51014709472656,103.76277160644531,152.0,0.24243761599063873,-29.78087043762207,-33.03350067138672,-33.03541564941406,0.0,0.0,0.0,0.0,0.0
21,light,1,90.56324005126953,31.671083450317383,248.0,40.0,151.0,825.7273559570312,168.46665954589844,50.59358215332031,148.12896728515625,0.0,0.013751594387755101,102.0,277.0,0.005520567602040816,36.6855583190918,850.2035522460938,68.20966339111328,99.52896118164062,102.95874786376953,144.0,0.23724322021007538,-31.31929588317871,-34.74908447265625,-34.75127410888672,0.0,0.0,0.0,0.0,0.0
22,light,1,98.22138214111328,30.62422752380371,251.0,44.0,146.0,769.2406005859375,161.0085906982422,56.27308654785156,148.0614471435547,0.0,0.012276785714285714,93.0,290.0,0.005779655612244898,34.969444274902344,739.81103515625,73.47930908203125,108.23223876953125,111.95706939697266,135.0,0.2367352396249771,-34.7529296875,-38.47775650024414,-38.48025131225586,1.992984693877551e-05,40.0,231.0,1.0,1.992984693877551e-05
23,light,1,95.89414978027344,31.482391357421875,252.0,42.0,149.0,807.38427734375,160.85757446289062,53.9140739440918,148.688720703125,0.0,0.012814891581632654,106.0,186.0,0.003706951530612245,36.12788391113281,805.9782104492188,71.83926391601562,105.62844848632812,109.1992416381836,140.0,0.2361210733652115,-33.789180755615234,-37.3599739074707,-37.36244583129883,3.985969387755102e-05,37.5,230.5,2.0,1.992984693877551e-05
24,light,1,98.2158203125,32.56527328491211,251.0,0.0,154.0,878.6824951171875,164.90252685546875,47.461727142333984,151.7747344970703,0.0,0.013472576530612245,117.0,259.0,0.005161830357142857,36.90252685546875,799.7412109375,73.1290054321289,108.3826904296875,111.97747802734375,144.0,0.23377229273319244,-35.25368881225586,-38.848472595214844,-38.848793029785156,0.0,0.0,0.0,0.0,0.0
25,light,1,96.42076110839844,31.917949676513672,253.0,0.0,149.0,826.6429443359375,162.213134765625,52.52246856689453,148.3074188232422,0.0,0.012017697704081632,101.0,154.0,0.0030691964285714285,37.74174499511719,822.5671997070312,71.30201721191406,106.63131713867188,110.08920288085938,137.0,0.2323119044303894,-35.32929992675781,-38.78718948364258,-38.787967681884766,0.0,0.0,0.0,0.0,0.0
26,light,1,103.068359375,30.705469131469727,253.0,51.0,150.0,782.121826171875,172.57037353515625,61.09292984008789,154.7901153564453,0.0,0.016462053571428572,81.0,542.0,0.010801977040816327,30.73389434814453,570.2980346679688,71.65999603271484,116.15983581542969,118.12298583984375,135.0,0.21915599703788757,-44.499839782714844,-46.462989807128906,-46.62757110595703,0.0,0.0,0.0,0.0,0.0
27,light,1,97.9579849243164,29.54677391052246,254.0,46.0,147.0,737.3284301757812,163.07373046875,55.08636474609375,147.7319793701172,0.0,0.0087890625,101.0,77.0,0.0015345982142857143,33.93305206298828,695.8091430664062,70.9766616821289,108.94280242919922,112.34295654296875,136.0,0.22805678844451904,-37.96614074707031,-41.36629104614258,-41.36830520629883,0.0,0.0,0.0,0.0,0.0
28,light,1,92.76777648925781,30.24212646484375,252.0,31.0,148.0,751.7654418945312,160.20909118652344,52.69747543334961,144.32676696777344,0.0,0.007912149234693877,141.0,42.0,0.0008370535714285714,38.37404251098633,901.785888671875,66.9131088256836,103.23571014404297,106.8671646118164,137.0,0.22547465562820435,-36.32260513305664,-39.954063415527344,-39.95487976074219,0.0,0.0,0.0,0.0,0.0
29,light,1,115.20619201660156,36.59475326538086,250.0,48.0,174.0,1199.05078125,179.39060974121094,59.91890335083008,170.3305206298828,0.0,0.01305404974489796,176.0,43.0,0.0008569834183673469,37.682579040527344,692.2601318359375,89.4765625,125.68991088867188,128.81979370117188,164.0,0.24232125282287598,-36.213348388671875,-39.343231201171875,-39.34632110595703,0.0,0.0,0.0,0.0,0.0
30,light,1,104.6161880493164,33.34455490112305,250.0,47.0,159.0,980.9977416992188,166.28048706054688,56.13584899902344,157.0966339111328,0.0,0.006716358418367347,97.0,30.0,0.0005978954081632653,36.93699264526367,690.7406005859375,79.83466339111328,114.69385528564453,117.80982971191406,150.0,0.2381354421377182,-34.859195709228516,-37.97516632080078,-37.97895431518555,1.992984693877551e-05,33.0,243.0,1.0,1.992984693877551e-05
31,light,1,108.26323699951172,35.42625427246094,250.0,47.0,164.0,1108.70947265625,176.84938049316406,57.03099060058594,163.13563537597656,0.0,0.011439732142857142,113.0,113.0,0.0022520727040816328,38.067012786865234,672.1416015625,83.71605682373047,118.23594665527344,121.3790054321289,156.0,0.2409975528717041,-34.51988983154297,-37.66294479370117,-37.6656379699707,3.985969387755102e-05,35.5,236.5,2.0,1.992984693877551e-05
32,light,1,108.67328643798828,34.273216247558594,251.0,51.0,162.0,1038.95654296875,168.3737335205078,61.537879943847656,159.43096923828125,0.0,0.005560427295918368,110.0,13.0,0.00025908801020408165,37.907569885253906,617.8286743164062,83.46516418457031,118.80039978027344,122.72339630126953,150.0,0.2402665615081787,-35.33523941040039,-39.25823211669922,-39.26038360595703,5.978954081632653e-05,43.66666793823242,240.3333282470703,3.0,1.992984693877551e-05
33,light,1,108.57850646972656,36.811790466308594,254.0,47.0,169.0,1208.37255859375,178.09495544433594,56.69728469848633,166.65673828125,0.0,0.009865274234693877,149.0,35.0,0.0006975446428571429,40.052852630615234,761.1026000976562,85.60214233398438,117.7862319946289,121.61792755126953,162.0,0.24584558606147766,-32.1840934753418,-36.015785217285156,-36.01833724975586,0.0,0.0,0.0,0.0,0.0
34,light,1,113.76728057861328,31.642730712890625,255.0,49.0,160.0,874.6986083984375,167.95802307128906,58.96952438354492,157.5547332763672,0.0,0.008111447704081632,130.0,20.0,0.0003985969387755102,33.29535675048828,656.0110473632812,83.2313232421875,126.47343444824219,128.55496215820312,145.0,0.23160035908222198,-43.24210739135742,-45.323638916015625,-45.56389617919922,5.978954081632653e-05,44.0,243.0,2.0,3.985969387755102e-05
35,light,1,86.49543762207031,31.27716636657715,254.0,38.0,141.0,758.370361328125,160.7758026123047,46.38584899902344,139.39259338378906,0.0,0.014628507653061224,119.0,254.0,0.00506218112244898,35.882015228271484,1072.822265625,58.276329040527344,98.34452819824219,99.3047866821289,130.0,0.21031422913074493,-40.068199157714844,-41.02846145629883,-41.529537200927734,5.978954081632653e-05,44.66666793823242,242.6666717529297,2.0,3.985969387755102e-05
36,light,1,88.15262603759766,33.43756103515625,255.0,37.0,160.0,836.3187255859375,176.6241912841797,46.783573150634766,151.0001678466797,0.0,0.02353714923469388,137.0,416.0,0.008290816326530613,39.51116943359375,1238.064697265625,57.23284149169922,101.3595962524414,101.0040054321289,152.0,0.20157288014888763,-44.12675476074219,-43.77116394042969,-44.714385986328125,7.971938775510203e-05,40.0,238.25,4.0,1.992984693877551e-05
37,light,1,88.75049591064453,31.57170867919922,255.0,47.0,148.0,692.5292358398438,170.6019744873047,57.529293060302734,143.17218017578125,0.0,0.02072704081632653,124.0,689.0,0.013731664540816327,38.455684661865234,1133.0770263671875,57.30110168457031,102.1485595703125,102.19374084472656,138.0,0.2017899751663208,-44.84745788574219,-44.89263916015625,-45.78125,1.992984693877551e-05,37.0,234.0,1.0,1.992984693877551e-05
38,light,1,87.8594970703125,29.897476196289062,254.0,49.0,138.0,640.6754760742188,161.58914184570312,55.8171501159668,140.8136749267578,0.0,0.017916932397959183,93.0,555.0,0.011061065051020409,33.96170425415039,927.34228515625,56.316368103027344,101.23222351074219,101.52311706542969,126.0,0.20128001272678375,-44.915855407714844,-45.20675277709961,-45.829681396484375,5.978954081632653e-05,38.0,229.3333282470703,1.0,5.978954081632653e-05
39,light,1,109.71127319335938,21.803241729736328,251.0,55.0,145.0,389.6953430175781,154.5858612060547,79.11111450195312,144.05101013183594,0.0,0.003966039540816327,66.0,21.0,0.0004185267857142857,25.08108901977539,437.4102478027344,68.72628021240234,127.32505798339844,126.56698608398438,117.0,0.20460771024227142,-58.59877395629883,-57.840702056884766,-59.25201416015625,9.964923469387755e-05,43.400001525878906,242.0,3.0,3.985969387755102e-05
40,light,1,99.86250305175781,26.401660919189453,253.0,57.0,143.0,552.8818969726562,170.8404083251953,68.5146484375,145.36195373535156,0.0,0.012755102040816327,92.0,333.0,0.006636639030612245,29.920425415039062,674.803466796875,63.308712005615234,115.51060485839844,115.3055419921875,123.0,0.20360468327999115,-52.20188903808594,-51.996829986572266,-52.916133880615234,7.971938775510203e-05,46.5,240.5,3.0,3.985969387755102e-05
41,light,1,87.28912353515625,31.1599178314209,254.0,46.0,151.0,737.4352416992188,168.11666870117188,56.41767501831055,146.86463928222656,0.0,0.01865433673469388,148.0,365.0,0.007274394132653061,36.38983917236328,1250.7364501953125,56.97431182861328,100.1484603881836,100.24156951904297,142.0,0.20467941462993622,-43.17414855957031,-43.26725769042969,-44.01598358154297,0.0,0.0,0.0,0.0,0.0
42,light,1,88.32535552978516,29.84006118774414,254.0,49.0,146.0,670.1638793945312,165.5969696044922,57.88888931274414,143.6321563720703,0.0,0.017737563775510203,134.0,413.0,0.008231026785714286,34.032623291015625,1118.147705078125,56.91495895385742,101.73764038085938,101.580078125,134.0,0.2033863067626953,-44.82268524169922,-44.66511917114258,-45.56997299194336,0.0,0.0,0.0,0.0,0.0
43,light,1,87.54791259765625,26.38458824157715,252.0,47.0,127.0,509.10491943359375,158.890869140625,53.85279083251953,131.04559326171875,0.0,0.011120854591836735,107.0,184.0,0.003667091836734694,32.06816864013672,989.0049438476562,56.281986236572266,100.78450012207031,101.24723052978516,113.0,0.20386281609535217,-44.50251007080078,-44.965240478515625,-45.58489990234375,0.0,0.0,0.0,0.0,0.0
44,light,1,88.21221160888672,24.964824676513672,254.0,45.0,127.0,443.7060852050781,145.9283905029297,55.464359283447266,129.44773864746094,0.0,0.00835060586734694,99.0,77.0,0.0015345982142857143,31.45616340637207,975.2640991210938,55.989715576171875,101.88874816894531,102.25572204589844,112.0,0.20224298536777496,-45.8990364074707,-46.2660026550293,-46.951210021972656,0.0,0.0,0.0,0.0,0.0
45,light,1,94.2507553100586,27.043556213378906,255.0,52.0,135.0,526.4681396484375,159.58123779296875,59.214359283447266,138.4278106689453,0.0,0.013073979591836735,92.0,282.0,0.005620216836734694,33.18644332885742,977.222900390625,60.8510856628418,108.47893524169922,108.74750518798828,120.0,0.20564725995063782,-47.62784957885742,-47.89642333984375,-48.66328430175781,1.992984693877551e-05,45.0,236.0,1.0,1.992984693877551e-05
46,light,1,87.7361068725586,39.182979583740234,254.0,30.0,172.0,1146.815185546875,159.2929229736328,42.01777648925781,152.80381774902344,0.0,0.025370695153061226,144.0,476.0,0.009486607142857142,48.127197265625,1676.277099609375,68.09107971191406,95.4884033203125,99.50169372558594,167.0,0.24104033410549164,-27.397321701049805,-31.410614013671875,-31.437898635864258,0.0,0.0,0.0,0.0,0.0
47,light,1,87.9931869506836,37.27760696411133,255.0,35.0,166.25,1103.40625,196.68585205078125,47.49086380004883,155.55128479003906,0.0,0.028918207908163265,142.0,999.0,0.019909917091836735,44.787689208984375,1539.5177001953125,63.59339141845703,97.66438293457031,101.99214935302734,160.0,0.22250819206237793,-34.07099151611328,-38.39875793457031,-38.409297943115234,1.992984693877551e-05,30.0,223.0,1.0,1.992984693877551e-05
48,light,1,97.0789794921875,28.40193748474121,253.0,48.0,135.0,649.3995971679688,142.4757537841797,59.17626190185547,136.56581115722656,0.0,0.006218112244897959,87.0,24.0,0.00047831632653061223,30.943010330200195,725.1322021484375,66.08319091796875,109.6475601196289,113.6629638671875,111.0,0.2143908143043518,-43.56437301635742,-47.57978057861328,-47.582767486572266,0.0,0.0,0.0,0.0,0.0
49,light,1,99.02395629882812,28.351587295532227,252.0,48.0,137.0,654.2800903320312,138.92373657226562,60.53036880493164,136.0930938720703,0.0,0.005899234693877551,81.0,78.0,0.0015545280612244898,30.089250564575195,729.3091430664062,68.07660675048828,111.65796661376953,115.1775131225586,113.0,0.21720843017101288,-43.58135223388672,-47.10090637207031,-47.10421371459961,1.992984693877551e-05,39.0,239.0,1.0,1.992984693877551e-05
50,light,1,101.64602661132812,23.04160499572754,254.0,55.0,129.0,389.6015930175781,137.50518798828125,66.12551879882812,130.0110321044922,0.0,0.005819515306122449,90.0,20.0,0.0003985969387755102,28.796310424804688,637.2600708007812,63.9248046875,117.75972747802734,117.91203308105469,100.0,0.20351949334144592,-53.834922790527344,-53.98722457885742,-54.645545959472656,9.964923469387755e-05,52.0,244.1999969482422,2.0,7.971938775510203e-05
51,light,1,86.7599868774414,31.024728775024414,254.0,46.0,152.0,704.4872436523438,179.5626220703125,57.1185188293457,142.1298065185547,0.0,0.024274553571428572,79.0,836.0,0.016661352040816327,33.91471481323242,1262.761474609375,56.15776443481445,99.6787109375,99.97040557861328,143.0,0.20422539114952087,-43.52094650268555,-43.81264114379883,-44.36579132080078,0.0,0.0,0.0,0.0,0.0
52,light,1,102.13958740234375,24.25856590270996,254.0,56.0,134.0,432.2108154296875,143.37234497070312,67.20247650146484,137.30255126953125,0.0,0.007354113520408163,94.0,90.0,0.001793686224489796,28.868139266967773,721.622314453125,63.520965576171875,118.7176513671875,118.23580932617188,107.0,0.2006864696741104,-55.196685791015625,-54.71484375,-55.741050720214844,1.992984693877551e-05,35.0,235.0,1.0,1.992984693877551e-05
53,light,1,88.50145721435547,27.9072265625,254.0,49.0,139.0,539.3281860351562,161.8404998779297,56.7747917175293,136.37399291992188,0.0,0.014130261479591837,94.0,267.0,0.005321269132653061,33.65034484863281,1130.54150390625,55.43185806274414,102.71077728271484,102.1247787475586,126.0,0.1985277384519577,-47.2789192199707,-46.69292068481445,-47.8173828125,5.978954081632653e-05,34.0,232.3333282470703,3.0,1.992984693877551e-05
54,light,1,102.42938995361328,23.963470458984375,253.0,57.0,135.0,437.9061584472656,152.0720977783203,67.72417449951172,138.9530792236328,0.0,0.0074936224489795915,93.0,62.0,0.0012356505102040817,29.004230499267578,600.6202392578125,63.60084533691406,119.06806182861328,118.85020446777344,108.0,0.20065008103847504,-55.46721649169922,-55.24936294555664,-56.107261657714844,0.0,0.0,0.0,0.0,0.0
55,light,1,97.37174987792969,25.03611946105957,254.0,56.0,129.0,428.5542907714844,154.65908813476562,66.4742431640625,135.2417755126953,0.0,0.012216996173469387,95.0,364.0,0.007254464285714286,30.13951301574707,768.4052734375,60.03266525268555,113.34791564941406,113.30805206298828,107.0,0.1990085393190384,-53.315250396728516,-53.275390625,-54.01255416870117,0.00013950892857142856,53.42856979370117,245.14285278320312,3.0,9.964923469387755e-05
56,light,1,88.85503387451172,25.586761474609375,255.0,50.0,124.0,450.2152099609375,154.4398956298828,60.395145416259766,133.0108184814453,0.0,0.012755102040816327,71.0,290.0,0.005779655612244898,31.461122512817383,848.793212890625,53.8939323425293,103.53740692138672,105.07212829589844,106.0,0.19227682054042816,-49.64347457885742,-51.178192138671875,-51.387298583984375,0.0,0.0,0.0,0.0,0.0
57,light,1,97.10539245605469,17.72457504272461,251.0,63.0,126.0,237.2255096435547,125.59308624267578,75.01187896728516,121.86336517333984,0.0,0.0009765625,20.0,8.0,0.00015943877551020407,23.35123062133789,447.75830078125,56.00914764404297,114.4597396850586,115.6258773803711,96.0,0.18829360604286194,-58.450592041015625,-59.616729736328125,-60.11349868774414,0.0,0.0,0.0,0.0,0.0
58,light,1,98.74986267089844,17.776180267333984,255.0,66.0,130.0,243.3706817626953,127.91358184814453,73.71487426757812,125.3386001586914,0.0,0.0007971938775510204,7.0,13.0,0.00025908801020408165,22.465755462646484,360.7486572265625,57.652503967285156,115.99417877197266,117.73893737792969,100.0,0.19057616591453552,-58.341678619384766,-60.0864372253418,-60.43255615234375,0.00011957908163265306,46.66666793823242,241.6666717529297,3.0,7.971938775510203e-05
59,light,1,95.63099670410156,21.08169174194336,255.0,54.0,130.0,342.3907775878906,127.6869125366211,65.05733489990234,125.4944839477539,0.0,0.0011957908163265306,15.0,14.0,0.00027901785714285713,26.5058536529541,488.0686340332031,58.62031555175781,111.1032943725586,113.11942291259766,102.0,0.19786903262138367,-52.48297882080078,-54.49910354614258,-54.540977478027344,3.985969387755102e-05,46.5,244.0,2.0,1.992984693877551e-05
60,light,1,99.8839111328125,28.766035079956055,255.0,51.0,146.0,607.1973266601562,162.0321044921875,61.02427673339844,145.5076446533203,0.0,0.013293207908163265,77.0,406.0,0.008091517857142858,36.68939208984375,964.811767578125,66.06221771240234,113.94092559814453,116.44270324707031,129.0,0.20952078700065613,-47.87870788574219,-50.3804817199707,-50.40497589111328,1.992984693877551e-05,49.0,238.0,1.0,1.992984693877551e-05
61,light,1,87.56730651855469,28.44660186767578,254.0,44.0,134.0,587.5609741210938,159.16818237304688,55.91010284423828,138.75489807128906,0.0,0.01411033163265306,90.0,328.0,0.006536989795918368,32.60495376586914,937.800537109375,54.535736083984375,101.43853759765625,102.70262908935547,119.0,0.1968221813440323,-46.902801513671875,-48.166893005371094,-48.319175720214844,0.0,0.0,0.0,0.0,0.0
62,light,1,99.81429290771484,40.57014846801758,254.0,37.0,185.0,1302.3779296875,180.06211853027344,52.64444351196289,173.0565185546875,0.0,0.032545440051020405,182.0,1152.0,0.02295918367346939,49.04728317260742,1676.4610595703125,79.8779067993164,107.55702209472656,112.14742279052734,181.0,0.24956360459327698,-27.679109573364258,-32.26951217651367,-32.291412353515625,0.0,0.0,0.0,0.0,0.0
63,light,1,90.57525634765625,31.867212295532227,252.0,43.0,149.0,790.3440551757812,173.08485412597656,54.72222137451172,145.87095642089844,0.0,0.015345982142857142,104.0,443.0,0.00882892219387755,40.23198699951172,1203.6331787109375,64.43134307861328,100.9092788696289,106.05889129638672,141.0,0.22208257019519806,-36.477935791015625,-41.6275520324707,-41.6322135925293,9.964923469387755e-05,39.400001525878906,234.60000610351562,5.0,1.992984693877551e-05
64,light,1,89.64879608154297,28.765031814575195,254.0,46.0,135.0,632.13525390625,158.9646453857422,55.46919250488281,136.61448669433594,0.0,0.008549904336734694,80.0,181.0,0.0036073022959183672,37.744171142578125,1067.2669677734375,63.02058792114258,100.27110290527344,104.9354248046875,123.0,0.22107894718647003,-37.250518798828125,-41.91484069824219,-41.918785095214844,1.992984693877551e-05,55.0,243.0,1.0,1.992984693877551e-05
65,light,1,89.71914672851562,28.605613708496094,253.0,45.0,134.0,621.8549194335938,155.62677001953125,54.98737335205078,135.61282348632812,0.0,0.007473692602040816,92.0,89.0,0.0017737563775510204,37.61232376098633,992.6339111328125,63.34090042114258,100.31905364990234,104.50480651855469,120.0,0.22242651879787445,-36.97815704345703,-41.163902282714844,-41.16705322265625,1.992984693877551e-05,50.0,242.0,1.0,1.992984693877551e-05
