source_folder,source_image,class_name,detected_confidence,bbox_x1,bbox_y1,bbox_x2,bbox_y2,crop_side,padded_left,padded_top,padded_right,padded_bottom,output_path,status,error_message
C:\Users\Administrator\Desktop\机器学习版本记录\自动剪切模型\测试集fire,51785682356_915e39aa55_o.jpg,fire,0.063106,2772.01,899.86,5221.0,2044.94,4083,0,569,38,0,C:\Users\Administrator\Desktop\机器学习版本记录\自动剪切模型\outputs\batch_20260406_103742\fire_512\51785682356_915e39aa55_o_512.jpg,success,
C:\Users\Administrator\Desktop\机器学习版本记录\自动剪切模型\测试集fire,52368156431_c01ee93f79_o.jpg,fire,0.05722,729.69,1752.71,3024.0,2246.34,3825,36,0,765,0,C:\Users\Administrator\Desktop\机器学习版本记录\自动剪切模型\outputs\batch_20260406_103742\fire_512\52368156431_c01ee93f79_o_512.jpg,success,
C:\Users\Administrator\Desktop\机器学习版本记录\自动剪切模型\测试集fire,52466454601_c17c6a555b_o.jpg,fire,0.030388,685.48,677.78,1998.48,1430.57,2190,0,40,437,649,C:\Users\Administrator\Desktop\机器学习版本记录\自动剪切模型\outputs\batch_20260406_103742\fire_512\52466454601_c17c6a555b_o_512.jpg,success,
C:\Users\Administrator\Desktop\机器学习版本记录\自动剪切模型\测试集fire,egor-vikhrev--E6jqIGzgOY-unsplash.jpg,fire,0.02588,0.0,1065.63,2540.61,2355.25,4235,847,407,725,0,C:\Users\Administrator\Desktop\机器学习版本记录\自动剪切模型\outputs\batch_20260406_103742\fire_512\egor-vikhrev--E6jqIGzgOY-unsplash_512.jpg,success,
C:\Users\Administrator\Desktop\机器学习版本记录\自动剪切模型\测试集glint,1013.jpg,glint,0.022383,98.97,38.71,2763.43,3458.77,5701,1419,1102,0,967,C:\Users\Administrator\Desktop\机器学习版本记录\自动剪切模型\outputs\batch_20260406_103742\glint_512\1013_512.jpg,success,
C:\Users\Administrator\Desktop\机器学习版本记录\自动剪切模型\测试集glint,1014.jpg,glint,0.039172,28.53,12.64,2862.67,2384.09,4725,917,1164,0,0,C:\Users\Administrator\Desktop\机器学习版本记录\自动剪切模型\outputs\batch_20260406_103742\glint_512\1014_512.jpg,success,
C:\Users\Administrator\Desktop\机器学习版本记录\自动剪切模型\测试集glint,1019.jpg,glint,0.110696,144.21,2969.2,3361.85,5188.26,5364,929,0,803,1305,C:\Users\Administrator\Desktop\机器学习版本记录\自动剪切模型\outputs\batch_20260406_103742\glint_512\1019_512.jpg,success,
C:\Users\Administrator\Desktop\机器学习版本记录\自动剪切模型\测试集glint,1020.jpg,glint,0.081545,682.57,2946.05,3486.7,5426.15,4675,253,0,790,1067,C:\Users\Administrator\Desktop\机器学习版本记录\自动剪切模型\outputs\batch_20260406_103742\glint_512\1020_512.jpg,success,
C:\Users\Administrator\Desktop\机器学习版本记录\自动剪切模型\测试集glint,1022.jpg,glint,0.378808,2978.42,837.91,4225.41,3471.66,4391,0,41,341,718,C:\Users\Administrator\Desktop\机器学习版本记录\自动剪切模型\outputs\batch_20260406_103742\glint_512\1022_512.jpg,success,
C:\Users\Administrator\Desktop\机器学习版本记录\自动剪切模型\测试集glint,1025.jpg,glint,0.011188,735.21,729.09,5380.33,3449.01,7743,814,1782,1473,2328,C:\Users\Administrator\Desktop\机器学习版本记录\自动剪切模型\outputs\batch_20260406_103742\glint_512\1025_512.jpg,success,
C:\Users\Administrator\Desktop\机器学习版本记录\自动剪切模型\测试集glint,1031.jpg,glint,0.017492,1948.24,16.42,5328.1,1525.26,5634,0,2046,999,0,C:\Users\Administrator\Desktop\机器学习版本记录\自动剪切模型\outputs\batch_20260406_103742\glint_512\1031_512.jpg,success,
C:\Users\Administrator\Desktop\机器学习版本记录\自动剪切模型\测试集glint,1034.jpg,glint,0.034281,15.45,0.0,1898.43,2146.51,3579,832,716,0,0,C:\Users\Administrator\Desktop\机器学习版本记录\自动剪切模型\outputs\batch_20260406_103742\glint_512\1034_512.jpg,success,
C:\Users\Administrator\Desktop\机器学习版本记录\自动剪切模型\测试集glint,1035.jpg,glint,0.078414,0.0,35.16,1575.64,3420.42,5643,2034,1094,0,917,C:\Users\Administrator\Desktop\机器学习版本记录\自动剪切模型\outputs\batch_20260406_103742\glint_512\1035_512.jpg,success,
C:\Users\Administrator\Desktop\机器学习版本记录\自动剪切模型\测试集glint,1038.jpg,glint,0.044657,0.97,44.44,1340.37,3464.72,5701,2180,1096,0,973,C:\Users\Administrator\Desktop\机器学习版本记录\自动剪切模型\outputs\batch_20260406_103742\glint_512\1038_512.jpg,success,
C:\Users\Administrator\Desktop\机器学习版本记录\自动剪切模型\测试集glint,1042.jpg,glint,0.027562,4227.22,597.79,5441.83,3427.66,4717,0,346,1737,739,C:\Users\Administrator\Desktop\机器学习版本记录\自动剪切模型\outputs\batch_20260406_103742\glint_512\1042_512.jpg,success,
C:\Users\Administrator\Desktop\机器学习版本记录\自动剪切模型\测试集glint,1044.jpg,glint,0.062251,4259.31,455.97,5446.49,3431.1,4960,0,536,1877,791,C:\Users\Administrator\Desktop\机器学习版本记录\自动剪切模型\outputs\batch_20260406_103742\glint_512\1044_512.jpg,success,
C:\Users\Administrator\Desktop\机器学习版本记录\自动剪切模型\测试集glint,1048.jpg,glint,0.037057,0.0,63.44,2134.5,3497.98,5725,1795,1082,0,1011,C:\Users\Administrator\Desktop\机器学习版本记录\自动剪切模型\outputs\batch_20260406_103742\glint_512\1048_512.jpg,success,
C:\Users\Administrator\Desktop\机器学习版本记录\自动剪切模型\测试集glint,1051.jpg,glint,0.079739,8.38,711.85,1422.85,3446.62,4559,1564,200,0,727,C:\Users\Administrator\Desktop\机器学习版本记录\自动剪切模型\outputs\batch_20260406_103742\glint_512\1051_512.jpg,success,
C:\Users\Administrator\Desktop\机器学习版本记录\自动剪切模型\测试集glint,1053.jpg,glint,0.028273,9.87,714.99,1589.7,3458.19,4573,1487,200,0,741,C:\Users\Administrator\Desktop\机器学习版本记录\自动剪切模型\outputs\batch_20260406_103742\glint_512\1053_512.jpg,success,
C:\Users\Administrator\Desktop\机器学习版本记录\自动剪切模型\测试集glint,1055.jpg,glint,0.023958,3896.86,24.65,5450.06,3470.99,5745,0,1125,2090,988,C:\Users\Administrator\Desktop\机器学习版本记录\自动剪切模型\outputs\batch_20260406_103742\glint_512\1055_512.jpg,success,
C:\Users\Administrator\Desktop\机器学习版本记录\自动剪切模型\测试集glint,1056.jpg,glint,0.021122,3833.07,20.74,5448.33,3481.18,5769,0,1133,2069,1003,C:\Users\Administrator\Desktop\机器学习版本记录\自动剪切模型\outputs\batch_20260406_103742\glint_512\1056_512.jpg,success,
C:\Users\Administrator\Desktop\机器学习版本记录\自动剪切模型\测试集glint,1057.jpg,glint,0.024937,2904.12,1079.7,3917.73,3395.54,3861,0,0,0,536,C:\Users\Administrator\Desktop\机器学习版本记录\自动剪切模型\outputs\batch_20260406_103742\glint_512\1057_512.jpg,success,
C:\Users\Administrator\Desktop\机器学习版本记录\自动剪切模型\测试集glint,1060.jpg,glint,0.011352,0.13,0.62,2209.68,3426.41,5711,1750,1142,0,937,C:\Users\Administrator\Desktop\机器学习版本记录\自动剪切模型\outputs\batch_20260406_103742\glint_512\1060_512.jpg,success,
C:\Users\Administrator\Desktop\机器学习版本记录\自动剪切模型\测试集glint,1063.jpg,glint,0.065288,930.55,26.65,3533.24,3720.64,6158,847,1205,1679,0,C:\Users\Administrator\Desktop\机器学习版本记录\自动剪切模型\outputs\batch_20260406_103742\glint_512\1063_512.jpg,success,
C:\Users\Administrator\Desktop\机器学习版本记录\自动剪切模型\测试集glint,1066.jpg,glint,0.10699,956.13,0.0,3588.22,1803.63,4388,0,1292,834,0,C:\Users\Administrator\Desktop\机器学习版本记录\自动剪切模型\outputs\batch_20260406_103742\glint_512\1066_512.jpg,success,
C:\Users\Administrator\Desktop\机器学习版本记录\自动剪切模型\测试集glint,1068.jpg,glint,0.593375,4193.22,723.51,5442.16,3490.8,4613,0,199,1668,782,C:\Users\Administrator\Desktop\机器学习版本记录\自动剪切模型\outputs\batch_20260406_103742\glint_512\1068_512.jpg,success,
C:\Users\Administrator\Desktop\机器学习版本记录\自动剪切模型\测试集glint,1069.jpg,glint,0.257923,3504.29,1094.12,5452.59,3499.94,4011,0,0,1028,670,C:\Users\Administrator\Desktop\机器学习版本记录\自动剪切模型\outputs\batch_20260406_103742\glint_512\1069_512.jpg,success,
C:\Users\Administrator\Desktop\机器学习版本记录\自动剪切模型\测试集glint,1077.jpg,glint,0.11224,2430.01,1707.24,3175.85,3384.72,2796,0,0,0,312,C:\Users\Administrator\Desktop\机器学习版本记录\自动剪切模型\outputs\batch_20260406_103742\glint_512\1077_512.jpg,success,
C:\Users\Administrator\Desktop\机器学习版本记录\自动剪切模型\测试集glint,1078.jpg,glint,0.201275,2381.57,1125.14,3174.61,3367.38,3738,0,0,0,483,C:\Users\Administrator\Desktop\机器学习版本记录\自动剪切模型\outputs\batch_20260406_103742\glint_512\1078_512.jpg,success,
C:\Users\Administrator\Desktop\机器学习版本记录\自动剪切模型\测试集glint,1079.jpg,glint,0.12251,4499.67,980.19,5441.79,3439.18,4099,0,0,1564,627,C:\Users\Administrator\Desktop\机器学习版本记录\自动剪切模型\outputs\batch_20260406_103742\glint_512\1079_512.jpg,success,
C:\Users\Administrator\Desktop\机器学习版本记录\自动剪切模型\测试集glint,1080.jpg,glint,0.300779,4055.69,996.83,5440.25,3415.42,4032,0,0,1308,590,C:\Users\Administrator\Desktop\机器学习版本记录\自动剪切模型\outputs\batch_20260406_103742\glint_512\1080_512.jpg,success,
C:\Users\Administrator\Desktop\机器学习版本记录\自动剪切模型\测试集glint,1081.jpg,glint,0.126704,3825.48,304.56,5448.27,3524.07,5367,0,769,1864,966,C:\Users\Administrator\Desktop\机器学习版本记录\自动剪切模型\outputs\batch_20260406_103742\glint_512\1081_512.jpg,success,
C:\Users\Administrator\Desktop\机器学习版本记录\自动剪切模型\测试集glint,1082.jpg,glint,0.659804,0.0,76.87,1026.71,3488.63,5687,2330,1061,0,994,C:\Users\Administrator\Desktop\机器学习版本记录\自动剪切模型\outputs\batch_20260406_103742\glint_512\1082_512.jpg,success,
C:\Users\Administrator\Desktop\机器学习版本记录\自动剪切模型\测试集glint,1084.jpg,glint,0.130549,4.97,52.67,1533.05,3537.08,5808,2135,1109,0,1067,C:\Users\Administrator\Desktop\机器学习版本记录\自动剪切模型\outputs\batch_20260406_103742\glint_512\1084_512.jpg,success,
C:\Users\Administrator\Desktop\机器学习版本记录\自动剪切模型\测试集glint,1085.jpg,glint,0.354693,9.25,58.53,1513.18,3477.55,5700,2088,1082,0,986,C:\Users\Administrator\Desktop\机器学习版本记录\自动剪切模型\outputs\batch_20260406_103742\glint_512\1085_512.jpg,success,
C:\Users\Administrator\Desktop\机器学习版本记录\自动剪切模型\测试集glint,1090.jpg,glint,0.457483,4085.73,1122.92,5436.99,3483.15,3935,0,0,1273,638,C:\Users\Administrator\Desktop\机器学习版本记录\自动剪切模型\outputs\batch_20260406_103742\glint_512\1090_512.jpg,success,
C:\Users\Administrator\Desktop\机器学习版本记录\自动剪切模型\测试集glint,1093.jpg,glint,0.375385,4399.69,985.73,5444.36,3434.25,4082,0,0,1507,619,C:\Users\Administrator\Desktop\机器学习版本记录\自动剪切模型\outputs\batch_20260406_103742\glint_512\1093_512.jpg,success,
C:\Users\Administrator\Desktop\机器学习版本记录\自动剪切模型\测试集glint,1095.jpg,glint,0.104768,24.64,0.0,3845.25,1430.48,6369,1249,2469,0,268,C:\Users\Administrator\Desktop\机器学习版本记录\自动剪切模型\outputs\batch_20260406_103742\glint_512\1095_512.jpg,success,
C:\Users\Administrator\Desktop\机器学习版本记录\自动剪切模型\测试集glint,1098.jpg,glint,0.131062,1412.57,1395.52,2502.41,3254.8,3100,0,0,0,243,C:\Users\Administrator\Desktop\机器学习版本记录\自动剪切模型\outputs\batch_20260406_103742\glint_512\1098_512.jpg,success,
C:\Users\Administrator\Desktop\机器学习版本记录\自动剪切模型\测试集glint,1099.jpg,glint,0.030976,7.83,43.86,2486.34,3457.05,5690,1598,1094,0,963,C:\Users\Administrator\Desktop\机器学习版本记录\自动剪切模型\outputs\batch_20260406_103742\glint_512\1099_512.jpg,success,
C:\Users\Administrator\Desktop\机器学习版本记录\自动剪切模型\测试集glint,1101.jpg,glint,0.170694,15.23,59.21,1413.47,3475.52,5695,2133,1080,0,983,C:\Users\Administrator\Desktop\机器学习版本记录\自动剪切模型\outputs\batch_20260406_103742\glint_512\1101_512.jpg,success,
C:\Users\Administrator\Desktop\机器学习版本记录\自动剪切模型\测试集glint,1108.jpg,glint,0.296732,3613.44,764.88,5441.09,3445.9,4469,0,129,1306,708,C:\Users\Administrator\Desktop\机器学习版本记录\自动剪切模型\outputs\batch_20260406_103742\glint_512\1108_512.jpg,success,
C:\Users\Administrator\Desktop\机器学习版本记录\自动剪切模型\测试集glint,1112.jpg,glint,0.188825,6.65,27.34,1700.81,3482.62,5760,2026,1125,0,1003,C:\Users\Administrator\Desktop\机器学习版本记录\自动剪切模型\outputs\batch_20260406_103742\glint_512\1112_512.jpg,success,
C:\Users\Administrator\Desktop\机器学习版本记录\自动剪切模型\测试集glint,1115.jpg,glint,0.307523,974.69,0.0,3594.18,1645.63,4367,0,1361,836,0,C:\Users\Administrator\Desktop\机器学习版本记录\自动剪切模型\outputs\batch_20260406_103742\glint_512\1115_512.jpg,success,
C:\Users\Administrator\Desktop\机器学习版本记录\自动剪切模型\测试集glint,1116.jpg,glint,0.159112,363.2,0.0,3632.0,1773.9,5449,727,1838,1090,0,C:\Users\Administrator\Desktop\机器学习版本记录\自动剪切模型\outputs\batch_20260406_103742\glint_512\1116_512.jpg,success,
C:\Users\Administrator\Desktop\机器学习版本记录\自动剪切模型\测试集glint,1117.jpg,glint,0.248753,1273.81,0.0,3626.03,1700.43,3922,0,1110,779,0,C:\Users\Administrator\Desktop\机器学习版本记录\自动剪切模型\outputs\batch_20260406_103742\glint_512\1117_512.jpg,success,
C:\Users\Administrator\Desktop\机器学习版本记录\自动剪切模型\测试集glint,1119.jpg,glint,0.050377,2720.95,886.87,5133.75,3403.04,4195,0,0,569,610,C:\Users\Administrator\Desktop\机器学习版本记录\自动剪切模型\outputs\batch_20260406_103742\glint_512\1119_512.jpg,success,
C:\Users\Administrator\Desktop\机器学习版本记录\自动剪切模型\测试集glint,1121.jpg,glint,0.522325,3994.64,41.36,5437.63,3539.19,5831,0,1125,2175,1074,C:\Users\Administrator\Desktop\机器学习版本记录\自动剪切模型\outputs\batch_20260406_103742\glint_512\1121_512.jpg,success,
C:\Users\Administrator\Desktop\机器学习版本记录\自动剪切模型\测试集glint,1127.jpg,glint,0.497826,0.0,44.74,1089.2,3532.99,5815,2363,1119,0,1064,C:\Users\Administrator\Desktop\机器学习版本记录\自动剪切模型\outputs\batch_20260406_103742\glint_512\1127_512.jpg,success,
C:\Users\Administrator\Desktop\机器学习版本记录\自动剪切模型\测试集glint,1130.jpg,glint,0.573947,7.53,41.02,1584.32,3420.24,5633,2021,1086,0,915,C:\Users\Administrator\Desktop\机器学习版本记录\自动剪切模型\outputs\batch_20260406_103742\glint_512\1130_512.jpg,success,
C:\Users\Administrator\Desktop\机器学习版本记录\自动剪切模型\测试集glint,1134.jpg,glint,0.639641,4283.94,977.15,5442.13,3536.46,4266,0,0,1540,758,C:\Users\Administrator\Desktop\机器学习版本记录\自动剪切模型\outputs\batch_20260406_103742\glint_512\1134_512.jpg,success,
C:\Users\Administrator\Desktop\机器学习版本记录\自动剪切模型\测试集glint,1140.jpg,glint,0.083617,9.05,13.88,2480.07,3336.57,5539,1525,1094,0,813,C:\Users\Administrator\Desktop\机器学习版本记录\自动剪切模型\outputs\batch_20260406_103742\glint_512\1140_512.jpg,success,
C:\Users\Administrator\Desktop\机器学习版本记录\自动剪切模型\测试集glint,1148.jpg,glint,0.562822,3772.52,930.01,5443.69,3430.75,4169,0,0,1237,633,C:\Users\Administrator\Desktop\机器学习版本记录\自动剪切模型\outputs\batch_20260406_103742\glint_512\1148_512.jpg,success,
C:\Users\Administrator\Desktop\机器学习版本记录\自动剪切模型\测试集glint,1152.jpg,glint,0.504557,4298.74,750.92,5438.91,3423.25,4455,0,140,1640,683,C:\Users\Administrator\Desktop\机器学习版本记录\自动剪切模型\outputs\batch_20260406_103742\glint_512\1152_512.jpg,success,
C:\Users\Administrator\Desktop\机器学习版本记录\自动剪切模型\测试集glint,1153.jpg,glint,0.888981,4278.93,793.54,5442.61,3461.28,4447,0,96,1628,719,C:\Users\Administrator\Desktop\机器学习版本记录\自动剪切模型\outputs\batch_20260406_103742\glint_512\1153_512.jpg,success,
C:\Users\Administrator\Desktop\机器学习版本记录\自动剪切模型\测试集glint,1156.jpg,glint,0.149579,0.0,119.23,1850.95,3500.59,5637,1893,1008,0,996,C:\Users\Administrator\Desktop\机器学习版本记录\自动剪切模型\outputs\batch_20260406_103742\glint_512\1156_512.jpg,success,
C:\Users\Administrator\Desktop\机器学习版本记录\自动剪切模型\测试集glint,1159.jpg,glint,0.311688,14.31,34.48,1620.57,3453.54,5700,2032,1106,0,962,C:\Users\Administrator\Desktop\机器学习版本记录\自动剪切模型\outputs\batch_20260406_103742\glint_512\1159_512.jpg,success,
C:\Users\Administrator\Desktop\机器学习版本记录\自动剪切模型\测试集glint,1162.jpg,glint,0.279987,3841.33,1103.74,5442.01,3448.37,3909,0,0,1140,598,C:\Users\Administrator\Desktop\机器学习版本记录\自动剪切模型\outputs\batch_20260406_103742\glint_512\1162_512.jpg,success,
C:\Users\Administrator\Desktop\机器学习版本记录\自动剪切模型\测试集glint,1172.jpg,glint,0.453725,3392.83,197.94,5456.0,3527.73,5551,0,912,1744,1006,C:\Users\Administrator\Desktop\机器学习版本记录\自动剪切模型\outputs\batch_20260406_103742\glint_512\1172_512.jpg,success,
C:\Users\Administrator\Desktop\机器学习版本记录\自动剪切模型\测试集glint,1179.jpg,glint,0.318177,0.0,103.74,1910.0,3426.29,5538,1814,1004,0,902,C:\Users\Administrator\Desktop\机器学习版本记录\自动剪切模型\outputs\batch_20260406_103742\glint_512\1179_512.jpg,success,
